name,median,low_95ci,high_95ci
zmax_all_hurst,0.15362494401601806,0.15089085794146703,0.15645043862142144
zmax_all_int,0.870815797389251,0.8565566826776551,0.884616858676736
zmax_heathcote_hurst,0.01597670562537966,0.014227652363331096,0.017774054402998354
zmax_hollister_hurst,0.14033727518021166,0.1391312349075835,0.14153146326747332
zmax_khazaei_hurst,0.24038656409413256,0.23895616185630655,0.2419573365148382
zmax_mod_hurst,0.11908936989551736,0.1170611041869377,0.12134397853547345
zmax_mod_int,1.0462570443377217,1.034832528702846,1.0565109536437687
zmax_obs_hurst,0.3944193361235656,0.3818307663306738,0.40696329400129355
zmax_obs_int,-0.618865040414788,-0.6971713758099444,-0.539417345201964
zmax_oliver_hurst,0.2247374862414544,0.22272461169445656,0.2266305802871181
zmax_sobek_hurst,1.0459127391170124,1.0417418482108987,1.050186781113974
